article,ean,name,category,dealer_price_eur,status
49.68.00.04,8715839030105,2012 BERG Toys brochure USA,,,
49.01.05.00,8715839041569,2012 Cross Promotion Flyer,,,
49.68.00.13,8715839041279,2012 Leisure Brochure DE,,,
49.68.00.12,8715839041262,2012 Leisure Brochure FR,,,
49.68.00.09,8715839033182,2012 Retail brochure,,,
47.11.49.00,8715839041453,2012 sleutelhanger,,,
49.68.00.27,8715839045390,2013 BERG Toys Prijslijst IRE,,,
49.68.00.26,8715839045147,2013 BERG brochure DE z. prijz,,,
49.68.00.18,8715839044522,2013 BERG brochure DU,,,
49.68.00.20,8715839044546,2013 BERG brochure ENG,,,
49.68.00.24,8715839044584,2013 BERG brochure Exp. E,,,
49.68.00.22,8715839044560,2013 BERG brochure Exp. N,,,
49.68.00.23,8715839044577,2013 BERG brochure Exp. S,,,
49.68.00.19,8715839044539,2013 BERG brochure FR,,,
49.68.00.21,8715839044553,2013 BERG brochure IRE,,,
49.68.00.25,8715839044591,2013 BERG brochure USA,,,
49.68.00.17,8715839044515,2013 BERGToys brochure NL,,,
49.68.00.16,8715839044508,2013 Retailbrochure DE,,,
49.68.00.14,8715839044485,2013 Retailbrochure EN,,,
49.68.00.15,8715839044492,2013 Retailbrochure FR,,,
49.68.00.31,8715839048568,2014 BERG Brochure DU,,,
49.68.00.33,8715839048582,2014 BERG Brochure ENG,,,
49.68.00.36,8715839048612,2014 BERG Brochure Exp. E,,,
49.68.00.34,8715839048599,2014 BERG Brochure Exp. N,,,
49.68.00.35,8715839048605,2014 BERG Brochure Exp. S,,,
49.68.00.32,8715839048575,2014 BERG Brochure FR,,,
49.68.00.30,8715839048551,2014 BERG Brochure NL,,,
49.68.00.37,8715839048629,2014 BERG Brochure USA,,,
49.68.00.39,8715839049749,2014 Retailbrochure DE,,,
49.68.00.38,8715839049732,2014 Retailbrochure EN,,,
49.68.00.40,8715839049756,2014 Retailbrochure FR,,,
49.68.00.77,8715839057003,2015 Accesoire flyer DE,,,
49.68.00.78,8715839057010,2015 Accesoire flyer EN,,,
49.68.00.79,8715839057027,2015 Accesoire flyer FR,,,
49.68.00.76,8715839056990,2015 Accesoire flyer NL,,,
49.68.00.56,8715839055696,2015 BERG Brochure Dutch nameprint á 50 pcs,,,
49.68.00.49,8715839055627,2015 BERG Brochure Dutch á 50 pcs,,,
49.68.00.59,8715839055726,2015 BERG Brochure English nameprint á 50 pcs,,,
49.68.00.52,8715839055658,2015 BERG Brochure English á 50 pcs,,,
49.68.00.58,8715839055719,2015 BERG Brochure French nameprint á 50 pcs,,,
49.68.00.51,8715839055641,2015 BERG Brochure French á 50 pcs,,,
49.68.00.57,8715839055702,2015 BERG Brochure German nameprint á 50 pcs,,,
49.68.00.50,8715839055634,2015 BERG Brochure German á 50 pcs,,,
49.68.00.53,8715839055665,2015 BERG Brochure Italian á 50 pcs,,,
49.68.00.54,8715839055672,2015 BERG Brochure PT-SP á 50 pcs,,,
49.68.00.55,8715839055689,2015 BERG Brochure USA á 50 pcs,,,
49.68.00.63,8715839053852,2015 BERG Leisure brochure French,,,
49.68.00.68,8715839055580,2015 BERG Prijslijst DE á 50 pcs,,,
49.68.00.67,8715839055573,2015 BERG Prijslijst EN á 50 pcs,,,
49.68.00.69,8715839055597,2015 BERG Prijslijst FR á 50 pcs,,,
49.68.00.71,8715839055610,2015 BERG Prijslijst IT á 50 pcs,,,
49.68.00.66,8715839055566,2015 BERG Prijslijst NL á 50 pcs,,,
49.68.00.70,8715839055603,2015 BERG Prijslijst SP/PT á 50 pcs,,,
49.68.00.60,8715839053821,2015 BERG leisure brochure Dutch,,,
49.68.00.62,8715839053845,2015 BERG leisure brochure English,,,
49.68.00.61,8715839053838,2015 BERG leisure brochure German,,,
49.68.00.73,8715839056549,2015 Christmas flyer DE,,,
49.68.00.88,8715839058277,2015 Christmas flyer IR (500 pcs),,,
49.68.00.91,8715839058307,2015 Christmas flyer IR with imprint (500 pcs),,,
49.68.00.72,8715839056532,2015 Christmas flyer UK + IRL,,,
49.68.00.90,8715839058291,2015 Christmas flyer UK with imprint (500 pcs),,,
49.68.00.89,8715839058284,2015 Christmas flyer without prices (500 pcs),,,
49.68.00.92,8715839058314,2015 Christmas flyer without prices with imprint (500 pcs),,,
47.11.56.00,8715839057805,2015 Drivers licence a 50 pieces,,,
49.68.00.75,8715839056563,2015 Flyer B2B Service dealer,,,
49.68.00.74,8715839056556,2015 Flyer B2C Local shows,,,
47.10.72.00,8715839056303,2015 Poster BERG Biky,,,
47.10.73.00,8715839056310,2015 Poster BERG Black Edition,,,
47.10.74.00,8715839056327,2015 Poster BERG Buzzy,,,
47.10.75.00,8715839056334,2015 Poster BERG Buzzy Fiat 500,,,
47.10.76.00,8715839056341,2015 Poster BERG Case IH,,,
47.10.77.00,8715839056358,2015 Poster BERG Choppy,,,
47.10.78.00,8715839056365,2015 Poster BERG Claas,,,
47.10.91.00,8715839056488,2015 Poster BERG Comparision trampolines,,,
47.10.79.00,8715839056372,2015 Poster BERG Deutz Fahr,,,
47.10.92.00,8715839056501,2015 Poster BERG EazyFit,,,
47.10.80.00,8715839056389,2015 Poster BERG Extra Sport,,,
47.10.81.00,8715839056396,2015 Poster BERG Extra Sport,,,
47.10.82.00,8715839056402,2015 Poster BERG Ford Mustang GT Pedal Go Kart,,,
47.10.93.00,8715839056518,2015 Poster BERG Grand Champion,,,
